MIC,OPERATING MIC,OPRT/SGMT,ISO COUNTRY CODE (ISO 3166),STATUS
CEDX,CCRM,SGMT,NL,EXPIRED
CELP,CSOB,SGMT,CZ,ACTIVE
CEPL,CEPL,OPRT,IE,ACTIVE
CEPU,CEPU,OPRT,GB,ACTIVE
CESF,CESF,OPRT,US,ACTIVE
CESI,CSOB,SGMT,CZ,ACTIVE
CETI,BVMF,SGMT,BR,ACTIVE
CETO,XWAR,SGMT,PL,EXPIRED
CEUD,CCXE,SGMT,NL,ACTIVE
CEUE,CCXE,SGMT,NL,EXPIRED
CEUO,CCXE,SGMT,NL,ACTIVE
CEUX,CCXE,SGMT,NL,ACTIVE
CFAU,CSAU,SGMT,AU,ACTIVE
CFBC,XCFE,SGMT,CN,ACTIVE
CFHK,CSHK,SGMT,HK,ACTIVE
CFIC,CFIC,OPRT,GB,ACTIVE
CFIF,CFIF,OPRT,CY,ACTIVE
CFIL,CFIL,OPRT,IE,ACTIVE
CFIM,CFIM,OPRT,US,ACTIVE
CFJP,CSJP,SGMT,JP,ACTIVE
CFTW,CFTW,OPRT,TW,ACTIVE
CGCM,CGIT,SGMT,IT,ACTIVE
CGDB,CGIT,SGMT,IT,ACTIVE
CGEB,CGIT,SGMT,IT,ACTIVE
CGEC,CGMD,SGMT,DE,ACTIVE
CGEE,CGMD,SGMT,DE,EXPIRED
CGET,CGMD,SGMT,DE,ACTIVE
CGGD,CGIT,SGMT,IT,ACTIVE
CGIT,CGIT,OPRT,IT,ACTIVE
CGMA,CGMA,OPRT,AU,EXPIRED
CGMC,CGML,SGMT,GB,ACTIVE
CGMD,CGMD,OPRT,DE,ACTIVE
CGME,CGML,SGMT,GB,EXPIRED
CGMG,CGMG,OPRT,GB,ACTIVE
CGMH,CGMH,OPRT,HK,ACTIVE
CGMI,CGMI,OPRT,US,ACTIVE
CGML,CGML,OPRT,GB,ACTIVE
CGMT,CGML,SGMT,GB,ACTIVE
CGMU,CGML,SGMT,GB,EXPIRED
CGMX,CGMX,OPRT,MX,ACTIVE
CGND,CGIT,SGMT,IT,ACTIVE
CGQD,CGIT,SGMT,IT,ACTIVE
CGQT,CGIT,SGMT,IT,ACTIVE
CGTR,CGIT,SGMT,IT,ACTIVE
CGXS,CGXS,OPRT,US,ACTIVE
CHEV,CHEV,OPRT,GB,ACTIVE
CHIA,CHIA,OPRT,AU,ACTIVE
CHIC,CHIC,OPRT,CA,ACTIVE
CHID,BCXE,SGMT,GB,ACTIVE
CHIE,CHIE,OPRT,SG,EXPIRED
CHIJ,CHIJ,OPRT,JP,ACTIVE
CHIO,BCXE,SGMT,GB,ACTIVE
CHIS,CHIJ,SGMT,JP,ACTIVE
CHIV,CHIJ,SGMT,JP,ACTIVE
CHIX,BCXE,SGMT,GB,ACTIVE
CHIY,BCXE,SGMT,GB,EXPIRED
CIBC,CIBC,OPRT,GB,ACTIVE
CIBH,CIBH,OPRT,HU,ACTIVE
CIBP,CIBP,OPRT,GB,ACTIVE
CICX,CGMI,SGMT,US,EXPIRED
CILH,CILH,OPRT,JP,ACTIVE
CIMA,CIMD,SGMT,ES,EXPIRED
CIMB,CIMD,SGMT,ES,ACTIVE
CIMD,CIMD,OPRT,ES,ACTIVE
CIME,CIMD,SGMT,ES,ACTIVE
CIMV,CIMD,SGMT,ES,ACTIVE
CIOI,CGMI,SGMT,US,EXPIRED
CISD,XNYS,SGMT,US,ACTIVE
CITD,CITX,SGMT,JP,ACTIVE
CITX,CITX,OPRT,JP,ACTIVE
CLAU,CLAU,OPRT,AU,ACTIVE
CLCH,XLCH,SGMT,GB,ACTIVE
CLHK,CLHK,OPRT,HK,ACTIVE
CLJP,CLJP,OPRT,JP,ACTIVE
CLMX,CLMX,OPRT,NL,ACTIVE
CLPH,CLPH,OPRT,PH,ACTIVE
CLST,CLST,OPRT,US,ACTIVE
CLTD,CLTD,OPRT,SG,ACTIVE
CLVE,CLVE,OPRT,GB,ACTIVE
CMAP,CAPI,SGMT,ES,ACTIVE
CMCI,CMCI,OPRT,FR,ACTIVE
CMCM,CMCM,OPRT,GB,ACTIVE
CMEC,CMEE,SGMT,GB,EXPIRED
CMED,CMEE,SGMT,GB,EXPIRED
CMEE,CMEE,OPRT,GB,EXPIRED
CMES,XCME,SGMT,US,ACTIVE
CMET,CMET,OPRT,JP,ACTIVE
CMMT,CMMT,OPRT,GB,ACTIVE
CMSF,CMSF,OPRT,US,ACTIVE
CMTS,XMTS,SGMT,GB,EXPIRED
CNOD,CNOD,OPRT,SG,ACTIVE
CNSI,CNSI,OPRT,NO,ACTIVE
COAL,COAL,OPRT,FR,ACTIVE
CODA,CODA,OPRT,US,ACTIVE
CODX,CODX,OPRT,US,ACTIVE
COHR,COHR,OPRT,US,ACTIVE
COMG,COMG,OPRT,MT,ACTIVE
COMM,COMM,OPRT,NL,ACTIVE
CONC,CONC,OPRT,HU,ACTIVE
CONE,XCBO,SGMT,US,EXPIRED
CORE,CGMI,SGMT,US,EXPIRED
COTC,COTC,OPRT,CA,ACTIVE
CPGX,CPGX,OPRT,US,ACTIVE
CPRM,CCRM,SGMT,NL,ACTIVE
CPTX,CPTX,OPRT,NL,ACTIVE
CRBX,CRBX,OPRT,CH,ACTIVE
CRDL,CRDL,OPRT,GB,EXPIRED
CRED,CRED,OPRT,US,ACTIVE
CREM,CREM,OPRT,IT,ACTIVE
CRMS,CDSL,SGMT,IN,ACTIVE
CRSX,CRSX,OPRT,VG,ACTIVE
CRYD,CRYD,OPRT,SE,ACTIVE
CRYP,CRYP,OPRT,GB,ACTIVE
CRYX,CRYX,OPRT,SE,ACTIVE
CSAG,CSAG,OPRT,CH,ACTIVE
CSAS,CSAS,OPRT,CZ,ACTIVE
CSAU,CSAU,OPRT,AU,ACTIVE
CSBX,CSEU,SGMT,GB,ACTIVE
CSCF,CSEU,SGMT,GB,ACTIVE
CSCL,CRED,SGMT,US,ACTIVE
CSDA,CSDA,OPRT,DE,ACTIVE
CSE2,XCNQ,SGMT,CA,ACTIVE
CSEC,CSEC,OPRT,GB,ACTIVE
CSEU,CSEU,OPRT,GB,ACTIVE
CSFB,CSEU,SGMT,GB,EXPIRED
CSGI,CSGI,OPRT,IE,ACTIVE
CSHK,CSHK,OPRT,HK,ACTIVE
CSIN,CSIN,OPRT,GB,ACTIVE
CSJP,CSJP,OPRT,JP,ACTIVE
CSLB,CSLB,OPRT,GB,ACTIVE
CSLP,CRED,SGMT,US,EXPIRED
CSMD,CSMD,OPRT,ES,ACTIVE
CSOB,CSOB,OPRT,CZ,ACTIVE
CSOT,CSAG,SGMT,CH,ACTIVE
CSSI,CSIN,SGMT,GB,ACTIVE
CSSX,CSSX,OPRT,CN,ACTIVE
CSTO,XSTO,SGMT,SE,ACTIVE
CSVW,CRED,SGMT,US,ACTIVE
CSZH,CSZH,OPRT,CH,ACTIVE
CTCC,CTCC,OPRT,GB,ACTIVE
CTDD,CTDD,OPRT,GB,ACTIVE
CTS3,CTS3,OPRT,ZA,ACTIVE
CTSS,CTSS,OPRT,GB,ACTIVE
CTWO,XCBO,SGMT,US,EXPIRED
CULV,CULV,OPRT,US,ACTIVE
CURX,CURX,OPRT,US,ACTIVE
CXAB,CHIA,SGMT,AU,ACTIVE
CXAC,CHIA,SGMT,AU,ACTIVE
CXAE,CHIA,SGMT,AU,ACTIVE
CXAF,CHIA,SGMT,AU,ACTIVE
CXAI,CHIA,SGMT,AU,ACTIVE
CXAL,CHIA,SGMT,AU,ACTIVE
CXAM,CHIA,SGMT,AU,ACTIVE
CXAN,CHIA,SGMT,AU,ACTIVE
CXAP,CHIA,SGMT,AU,ACTIVE
